State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
GA,Clarke County,38.1,41.6,33302
GA,Clay County,34.3,52,25941
GA,Clayton County,23.3,35.4,41731
GA,Clinch County,28.2,39.6,31848
GA,Cobb County,11.4,16.4,70097
GA,Coffee County,22.6,34,34775
GA,Colquitt County,24.1,35.5,34151
GA,Columbia County,9.3,11.3,75232
GA,Cook County,24.1,35.7,34505
GA,Coweta County,10.9,16.4,67268
GA,Crawford County,20.6,28.9,43559
GA,Crisp County,32.3,47.4,31095
GA,Dade County,16.2,21.8,43632
GA,Dawson County,12.1,18,60195
GA,Decatur County,27.3,39.9,37661
GA,DeKalb County,17.8,27.7,53994
GA,Dodge County,24.8,38.1,34611
GA,Dooly County,33.8,45.4,32323
GA,Dougherty County,29.4,42.1,34799
GA,Douglas County,14.1,21.6,58443
GA,Early County,26.5,41.6,31935
GA,Echols County,25.9,39.3,34414
GA,Effingham County,11.4,15.3,63255
GA,Elbert County,23.7,35.3,35814
GA,Emanuel County,27,40.2,31772
GA,Evans County,27.4,41.8,34085
GA,Fannin County,17.4,29.8,39796
GA,Fayette County,7,10,80588
GA,Floyd County,19.6,28.7,41130
GA,Forsyth County,6.3,6.9,97886
GA,Franklin County,21.9,31.3,40156
GA,Fulton County,16,23.8,59911
GA,Gilmer County,16.9,30.6,43907
GA,Glascock County,17.8,24.4,40732
GA,Glynn County,18.2,30,46377
GA,Gordon County,18.1,26.4,44580
GA,Grady County,29.3,41.1,36486
GA,Greene County,21.2,37.9,43326
GA,Gwinnett County,12.6,17.9,61797
GA,Habersham County,16.6,23.5,44400
GA,Hall County,16.9,24.3,54578
GA,Hancock County,34.7,43.7,28328
GA,Haralson County,19.2,27,41167
GA,Harris County,9.9,13.6,65887
GA,Hart County,18.6,28.7,39567
GA,Heard County,19.1,30.7,41514
GA,Henry County,9.9,15.8,65437
GA,Houston County,15.2,22.6,55860
GA,Irwin County,24.7,37.1,35284
GA,Jackson County,13,17.8,56102
GA,Jasper County,17.4,28.9,46398
GA,Jeff Davis County,21.7,34.1,36186
GA,Jefferson County,27.7,39.7,32023
GA,Jenkins County,35.9,47.3,29924
GA,Johnson County,30.2,37.1,30794
GA,Jones County,14.2,20.7,52777
