EventDate,TheatreCode
16780100,dg
16780117,dg
16780118,atcourt
16780130,none
16780200,dl
16780200,dl
16780202,mt
16780202,it
16780213,none
16780300,dg
16780300,dl
16780300,dl
16780311,dg
16780314,atcourt
16780319,dl
16780321,dg
16780325,none
16780405,dg
16780412,atcourt
16780528,dg
16780600,dg
16780600,dg
16780620,mth
16780900,dg
16781029,city
16781100,atcourt
16781100,dg
16781101,it
16781113,none
16781122,eb
16781125,eb
16790106,dlordg
16790109,eb
16790130,none
16790200,dl
16790300,dl
16790300,dl
16790300,dg
16790400,dg
16790411,none
16790414,none
16790500,dg
16790515,dlordg
16790621,dg
16790900,dg
16790900,dg
16790900,dg
16790901,bf
16790903,bf
16791000,dg
16791003,brussels
16791029,city
16791120,slingsby
16791200,dg
16791217,cs
16800100,dg
16800127,dl
16800130,none
16800200,dl
16800200,dg
16800200,dg
16800202,dg
16800209,dg
16800211,atcourt
16800213,atcourt
16800217,atcourt
16800219,dlordg
16800220,atcourt
16800225,none
16800226,dg
16800227,atcourt
16800300,dl
16800300,dg
16800306,dg
16800306,atcourt
16800309,dlordg
16800325,dlordg
16800405,none
16800506,dlordg
16800531,dl
16800600,dg
16800600,dg
16800601,dl
16800602,dl
16800602,dg
16800700,dl
16800730,dl
16800800,bf
16800831,bf
16800900,sf
16800900,dg
16800900,dl
16800900,dg
16800923,evelyn
16801029,city
16801101,dg
16801200,dl
16801203,dl
16801208,dg
16801213,dl
16801222,none
16810100,dg
16810118,dl
16810119,dl
16810129,dg
16810131,none
16810200,dl
16810300,dg
16810300,dl
16810301,dg
16810308,dg
16810328,none
16810400,dg
16810404,dg
16810418,dg
16810500,dl
16810511,dl
16810530,dl
16810601,dl
16810618,dl
16810800,bf
16810900,dg
16810909,bf
16811000,dl
16811000,dl
16811029,city
16811100,dg
16811112,dlordg
16811115,atcourt
16811122,dg
16811200,dg
16811200,dl
16811218,dlordg
16820100,dg
16820110,dlordg
16820111,dg
16820113,dl
16820114,dl
16820119,dg
16820123,dg
16820124,dg
16820125,dg
16820130,none
16820201,dg
16820202,it
16820204,dl
16820206,dl
16820209,dg
16820211,dg
16820216,dg
16820222,dl
16820228,dl
16820300,dl
16820300,dg
16820300,dg
16820302,dl
16820311,dl
16820321,dl
16820400,dg
16820410,none
16820421,dg
16820427,dg
16820504,dlordg
16820517,dg
16820518,dg
16820529,dl
16820531,dg
16820610,dg
16820617,dg
16820626,none
16820706,dlordg
16820708,dg
16820710,oxford
16820718,oxford
16820718,dlordg
16820804,dg
16820810,dg
16820812,dg
16820823,bf
16820824,bf
16820912,sf
16821009,dlordg
16821024,dlordg
16821030,city
16821101,it
16821109,dg
16821115,atcourt
16821116,dl
16821125,dl
16821128,dl
16821129,dl
16821130,dl
16821201,dl
16821214,dl
16821230,dl
16830111,dlordg
16830118,dlordg
16830119,dl
16830130,none
16830200,dlordg
16830202,mt
16830400,none
16830402,none
16830411,none
16830531,dg
16830700,dg
16830800,windsor
16830814,dlordg
16830912,dlordg
16831008,dl
16831029,city
16831100,atcourt
16831101,it
16831112,dl
16831122,ms
16831200,dl
16840124,thames
16840130,none
16840202,mt
16840211,atcourt
16840223,dlordg
16840300,dl
16840324,none
16840327,dl
16840400,dl
16840524,dlordg
16840526,atcourt
16840600,dg
16840610,atcourt
16840725,falkland
16840800,none
16840800,dlordg
16840900,dl
16840906,bforsf
16840929,dlordg
16841027,none
16841029,city
16841029,atcourt
16841029,dlordg
16841101,it
16841103,dlordg
16841122,ms
16841129,dlordg
16841200,dlordg
16841209,dlordg
16850101,dlordg
16850102,dlordg
16850113,dlordg
16850115,dlordg
16850120,dlordg
16850122,dlordg
16850127,dlordg
16850130,none
16850206,none
16850413,none
16850427,dlordg
16850428,dlordg
16850509,dl
16850511,dl
16850530,dlordg
16850603,dg
16850610,dg
16850613,dg
16850700,dg
16850800,bf
16850800,dl
16850826,bf
16851000,dlordg
16851010,atcourt
16851020,dlordg
16851029,atcourt
16851029,city
16851102,it
16851104,atcourt
16851109,atcourt
16851116,atcourt
16851124,atcourt
16851130,atcourt
16851214,atcourt
16851219,dl
16851226,dl
16851230,dlordg
16851230,oldfield
16860100,dl
16860107,none
16860113,atcourt
16860118,none
16860120,atcourt
16860123,dlordg
16860127,atcourt
16860130,none
16860202,it
16860203,atcourt
16860204,dl
16860206,dlordg
16860208,dlordg
16860210,atcourt
16860211,dlordg
16860213,atcourt
16860216,atcourt
16860304,dg
16860306,dg
16860329,none
16860400,dl
16860408,dlordg
16860430,atcourt
16860506,dlordg
16860510,dlordg
16860700,oxford
16860800,bf
16861006,dlordg
16861013,dlordg
16861020,atcourt
16861027,atcourt
16861029,city
16861101,it
16861103,atcourt
16861110,atcourt
16861117,atcourt
16861124,atcourt
16861129,dl
16861201,atcourt
16861208,dlordg
16861209,atcourt
16861214,dlordg
16861215,atcourt
16861222,dlordg
16870103,dlordg
16870103,atcourt
16870105,atcourt
16870106,dlordg
16870110,dlordg
16870110,atcourt
16870111,dlordg
16870119,atcourt
16870120,dlordg
16870126,atcourt
16870128,dl
16870130,atcourt
16870131,none
16870201,dlordg
16870202,it
16870216,none
16870222,dl
16870300,dg
16870315,dg
16870321,none
16870326,dlordg
16870406,dlordg
16870411,atcourt
16870418,atcourt
16870419,none
16870425,atcourt
16870509,atcourt
16870512,dl
16870516,atcourt
16870724,none
16871024,dlordg
16871029,city
16871101,it
16871122,ms
16871220,dlordg
16880109,dlordg
16880130,none
16880131,atcourt
16880200,dl
16880206,atcourt
16880213,atcourt
16880220,atcourt
16880227,atcourt
16880400,dg
16880400,dl
16880409,none
16880503,dl
16880504,dl
16880505,dl
16880506,dl
16880508,dl
16880509,dl
16880510,dl
16880511,dl
16880512,dl
16880513,dl
16880515,dl
16880516,dl
16880517,dl
16880618,atcourt
16880700,atcourt
16880800,bf
16880900,dlordg
16880929,atcourt
16881028,city
16890130,none
16890300,dl
16890325,none
16890400,dl
16890400,dlordg
16890411,none
16890418,yb
16890528,dlordg
16890531,dlordg
16890605,none
16890613,dg
16890805,none
16890826,bf
16891000,dlordg
16891017,yb
16891029,city
16891100,atcourt
16891101,it
16891104,atcourt
16891107,dl
16891111,yb
16891114,yb
16891120,dl
16891128,dlordg
16891200,chelsea
16891204,dl
16900100,dl
16900100,dl
16900101,atcourt
16900108,hughs
16900116,dlordg
16900130,none
16900203,yb
16900224,ec
16900300,dlordg
16900300,dl
16900310,yb
16900312,none
16900327,mth
16900414,none
16900415,none
16900416,none
16900417,none
16900418,none
16900419,none
16900430,atcourt
16900521,none
16900600,dg
16900600,dg
16900618,none
16900716,none
16900900,none
16900900,dl
16900901,bf
16900908,none
16900917,none
16900929,yb
16901000,dl
16901010,gb
16901015,oo
16901021,dl
16901100,dlordg
16901100,dl
16901101,it
16901104,atcourt
16901107,atcourt
16901117,dg
16901200,dl
16901200,dl
16901200,dl
16910100,dl
16910101,atcourt
16910130,none
16910204,dl
16910220,bg
16910226,bg
16910300,dl
16910317,dlordg
16910400,dl
16910402,bg
16910406,none
16910413,yb
16910423,bg
16910429,none
16910500,dg
16910520,none
16910630,oxford
16910803,bf
16910808,bf
16910813,none
16910917,bg
16911000,none
16911001,dlordg
16911010,lordg
16911029,bg
16911029,city
16911106,ys
16911109,yb
16911112,bg
16911123,sh
16911124,dlordg
16911126,none
16911200,dg
16911200,dlordg
16911200,dl
16911205,bg
16911216,dl
16911217,none
16911217,dl
16911219,none
16911231,dl
16920100,dl
16920102,dlordg
16920107,dg
16920119,none
16920130,none
16920200,dl
16920209,dl
16920212,none
16920300,dl
16920303,dl
16920307,none
16920310,vendu
16920311,none
16920316,dlordg
16920321,none
16920328,none
16920400,dl
16920408,none
